ALARMID	ALARMCODE	CATEGORY	DESCRIPTION	SEVERITY	ALARM_CAUSE	SEVERITY_DESC	SEVERITY_RATIO
1068	6	설비이상	[ERR569] [M6569] Z-AXIS ORIGIN LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1071	6	설비이상	[ERR572] [M6572] Z-AXIS BALANCE 1-2	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1072	1	안전	GROUP#1 Light Curtain 01 Detect Status	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1073	1	안전	Light Curtain 02 Detect Status	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1081	0	시스템	CIM UNKNOWN ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1081	1	안전	GROUP#1 Didn't Ready for Auto Mode Start	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1086	1	안전	GROUP#1 Servo Power is OFF during Auto Mode Change	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1089	6	설비이상	[ERR590] [M6590] Z-AXIS SERVO FEEDBACK	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1090	6	설비이상	[ERR591] [M6591] Z-AXIS ENC VAL ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1092	6	설비이상	[ERR593] [M6593] ALIGN GENERIC	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1093	6	설비이상	[ERR594] [M6594] ALIGN OVER CURRENT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1099	6	설비이상	[ERR600] [M6600] ALIGN SERIAL ENCODER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1101	6	설비이상	Manufacture Abnormal Detection Timeout.	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1103	0	시스템	CRANE ANKLE LEFT DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1103	6	설비이상	[ERR604] [M6604] ALIGN FOLLOWIN G	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1105	6	설비이상	[ERR606] [M6606] ALIGN OVERLOAD	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1108	6	설비이상	"[ERR609] [M6609] ALIGN HW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1109	6	설비이상	"[ERR610] [M6610] ALIGN HW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1110	6	설비이상	"[ERR611] [M6611] ALIGN SW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1111	6	설비이상	"[ERR612] [M6612] ALIGN SW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1113	6	설비이상	Conveyor 02 Moving Time Over.	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1114	6	설비이상	[ERR615] [M6615] ALIGN ORIGIN LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1118	6	설비이상	Auto Step 01 Time Over	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1119	6	설비이상	Auto Step 01 Time Over	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1120	6	설비이상	EQ 01 PIO T01 Time Over	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1125	0	시스템	Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1140	6	설비이상	Error Occurred During BUFFER PIO Interface.	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1144	6	설비이상	S/W Push Abnomal Used	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1149	0	시스템	CRANE ABNORMAL START TIME OUT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1153	6	설비이상	[ERR654] [M6654] ALIGN SERVO FEEDBACK	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1154	6	설비이상	[ERR655] [M6655] ALIGN ENC VAL ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1155	0	시스템	CRANE FORK LEFT HEIGHT CHECK OVER	4	Unknown	높음 (빠른 조치 필요, 설비 이상)	33.4%
1157	0	시스템	CRANE SEW TRAVEL X FAULT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1157	6	설비이상	[ERR658] [M6658] T-AXIS OVER CURRENT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1160	0	시스템	CRANE FORK RIGHT COLLAPSE DECTECT 1	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1161	0	시스템	CRANE FORK RIGHT COLLAPSE DECTECT 2	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1162	6	설비이상	Stopper 01 Unit Down time over.	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1163	6	설비이상	[ERR664] [M6664] T-AXIS SERIAL ENCODER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1164	6	설비이상	[ERR665] [M6665] T-AXIS ENCODER DISCON	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1165	0	시스템	CRANE FORK LEFT COLLAPSE DECTECT 1	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1166	0	시스템	CRANE FORK LEFT COLLAPSE DECTECT 2	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1167	6	설비이상	[ERR668] [M6668] T-AXIS FOLLOWIN G	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1169	6	설비이상	[ERR670] [M6670] T-AXIS OVERLOAD	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1172	0	시스템	CRANE RACK POSITION NOT DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1172	6	설비이상	"[ERR673] [M6673] T-AXIS HW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1173	0	시스템	CRANE STK ACTION 5 Min TIMEOVER ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1174	6	설비이상	"[ERR675] [M6675] T-AXIS SW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1175	6	설비이상	"[ERR676] [M6676] T-AXIS SW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1178	6	설비이상	[ERR679] [M6679] T-AXIS ORIGIN LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1189	0	시스템	CRANE SHELF In Abort (Double Cargo)	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1190	0	시스템	CRANE SHELF In Abort (Empty Cargo)	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1199	6	설비이상	Servo Motor Alarm Occoured.	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1218	6	설비이상	[ERR719] [M6719] T-AXIS ENC VAL ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1220	6	설비이상	[ERR721] [M6721] FORK1 GENERIC	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1221	6	설비이상	[ERR722] [M6722] FORK1 OVER CURRENT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1227	6	설비이상	[ERR728] [M6728] FORK1 SERIAL ENCODER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1231	6	설비이상	[ERR732] [M6732] FORK1 FOLLOWIN G	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1233	6	설비이상	[ERR734] [M6734] FORK1 OVERLOAD	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1236	6	설비이상	"[ERR737] [M6737] FORK1 HW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1237	6	설비이상	"[ERR738] [M6738] FORK1 HW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1238	6	설비이상	"[ERR739] [M6739] FORK1 SW LIMIT ""+"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1239	6	설비이상	"[ERR740] [M6740] FORK1 SW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1241	6	설비이상	[ERR742] [M6742] FORK1 SERVO STEP DT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1242	6	설비이상	[ERR743] [M6743] FORK1 ORIGIN LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1243	6	설비이상	[ERR744] [M6744] FORK1 HOME ENA ABNORMA	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1254	6	설비이상	[ERR755] [M6755] FORK1 INPLACE ABNORMAL	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1281	6	설비이상	[ERR782] [M6782] FORK1 SERVO FEEDBACK	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1285	6	설비이상	[ERR786] [M6786] FORK2 OVER CURRENT	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
1292	6	설비이상	[ERR793] [M6793] FORK2 ENCODER DISCON	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1295	6	설비이상	[ERR796] [M6796] FORK2 FOLLOWIN G	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1303	6	설비이상	"[ERR804] [M6804] FORK2 SW LIMIT ""-"""	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1306	6	설비이상	[ERR807] [M6807] FORK2 ORIGIN LOSS	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1324	0	시스템	HS DOWN TIME OVER ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1333	0	시스템	C/V DATA MISS MATCH EXIST ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1334	0	시스템	C/V DATA MISS MATCH NOTHING ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1343	0	시스템	STK LIGHT CURTAIN DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1346	0	시스템	C/V LIGHT CURTAIN DETECT ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1347	0	시스템	HOME RETURN FAIL ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1382	0	시스템	C/V BARCODE FAULT WARNING	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1501	0	시스템	CRANE_PLC_INTERFACE_ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1505	0	시스템	CRANE_MOVE_TIMEOUT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1508	0	시스템	CRANE CARRIER SENSOR DATA MISMATCH	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1600	0	시스템	PORT_VALIDATION_NG	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1601	0	시스템	PORT_VALIDATION_TIMEOUT	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
1702	0	시스템	PLC_WRITE_FAIL	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
1704	0	시스템	PLC_HEARTBEAT_STOP	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
2022	0	시스템	MC01,MC02 ON TROLLEY AC POWER	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
2033	0	시스템	ER01,02 SAFETY RELAY ON CHECK	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
2054	0	시스템	Door Open/Close Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
2101	0	시스템	RDB#2CP06 TRIP INVERTER POWER#6	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
2101	6	설비이상	Manufacture Abnormal Detection Timeout.	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
2116	6	설비이상	FLS,RLS Sensor Off Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
2145	0	시스템	RDB#4 Maint Key Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
2189	6	설비이상	AGV retry count exceeded.	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
2200	6	설비이상	Servo Motor Alarm Occoured.	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3004	0	시스템	Turn Home Pos Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3005	0	시스템	DIV Up/Down Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3008	0	시스템	Pallet Overhang DET Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3010	0	시스템	BCR Reader Response State Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3011	0	시스템	Product DETECT Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3012	0	시스템	SLOW DETECT Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3013	0	시스템	STOP DETECT Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3013	65	안전장치	  STOP DETECT Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
3014	0	시스템	Work Data Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3015	0	시스템	INTERFACE Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3018	0	시스템	DIV redirect CV STOP error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3023	0	시스템	MCS BUZZER Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3025	0	시스템	Cycle Stop Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3025	65	안전장치	  Cycle Stop Time Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
3033	0	시스템	Inverter Not Ready CW/CCW Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3037	0	시스템	Conveyor Run Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3038	0	시스템	Chain CV Run Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3042	0	시스템	Home Run Time Over Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3042	65	안전장치	  Home Run Time Over Error	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
3043	0	시스템	Light Curtain Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3048	0	시스템	RTV-STK Alive Signal Error	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
3113	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
3126	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
3140	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
3333	9	프로세스	No Define	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
4004	65	안전장치	MC#11 Status Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4008	65	안전장치	MC#101, 102 Status Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4011	65	안전장치	All Unit Initial Timeover Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4016	65	안전장치	2Floor Bumper Sensor Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4017	65	안전장치	1Floor Bumper Sensor Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4020	65	안전장치	PIO_Loading  T1(Valid->U_Req) Time over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4024	65	안전장치	PIO_Loading  T5(Busy->Compt) Time over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4027	0	시스템	LIFT GF Product I/L DET ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
4028	65	안전장치	PIO_Unloading  T1(Valid->L_Req) Time over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4033	65	안전장치	PIO_Unloading  T6 (Compt->Ready Off)Time over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4034	65	안전장치	PIO_Unloading  T7 (Ready Off->Compt Off)Time over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4053	65	안전장치	C/V Work Data Mismatch Alarm	5	DataError	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4054	65	안전장치	Lift Work Data Mismatch Alarm	5	DataError	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4060	65	안전장치	PIO Time Over Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4062	65	안전장치	Right PIO Abnormal Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4200	65	안전장치	Stopper Up_Left_ Timeover	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4202	65	안전장치	Stopper Up_Right_Timeover	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4207	65	안전장치	Left_Stopper_Controller_Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4208	65	안전장치	Right _Stopper_Controller_Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4301	65	안전장치	Rear_Scanner_OSSD_Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4351	65	안전장치	ACS ???? Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4403	65	안전장치	SLAM_ERROR_POS	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4404	65	안전장치	SLAM_ERROR_NOT_ON_PATH	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4406	65	안전장치	SLAM_ERROR_MAP_UPDATE	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4407	65	안전장치	SLAM_ERROR_FRONT_TRACTION_MOTOR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4408	65	안전장치	SLAM_ERROR_REAR_TRACTION_MOTOR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4410	65	안전장치	SLAM_ERROR_REAR_STEERING_MOTOR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4416	65	안전장치	SLAM_ERROR_REAR_ABS_ENCODER	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4442	65	안전장치	SLAM Error Target X Limit Alarm	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4453	65	안전장치	Rear Steering Limit- Alarm	5	DataError	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
4735	65	안전장치	Rear/Right Traction Main Contactor Did Not Close	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5001	6	설비이상	[C/V] 261.PORT power off	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
5011	8	데이터	[C/V] 271.Data_On, Sensor_Off Overtime	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
5012	8	데이터	[C/V] 272.Data_Off, Sensor_On Overtime	3	DataError	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
5013	6	설비이상	[C/V] 273.TRACK sensor detection abnormalities	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5091	1	안전	[CV] 274.GF Light Curtain detection abnormality	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5122	65	안전장치	[R7290_1][A]_[TRAY_LOADING_CV]_MAIN_STEP_AUTOMATIC_OPERATION_TIME_OVER_1	5	작업성	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5185	65	안전장치	[R7294_0][C]_[TRAY_LOADING_CV]_LIGHT_CURTAIN_DETECT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5442	65	안전장치	[R7690_1][A]_[TRAY_UNLOADING_CV]_MAIN_STEP_AUTOMATIC_OPERATION_TIME_OVER_1	5	작업성	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5506	65	안전장치	[R7694_1][C]_[TRAY_UNLOADING_CV]_LABLE_AREA_LIGHT_CURTAIN_DETECT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
5521	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
5522	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
5524	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
5529	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
6502	65	안전장치	LIFT UP/DOWN ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6503	65	안전장치	FRONT LIGHT CURTAIN MUTTING ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6504	65	안전장치	REAR LIGHT CURTAIN MUTTING ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6505	65	안전장치	DETECT OVER TRAY ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6507	65	안전장치	ACS AGV ERROR OCCURRED	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6509	65	안전장치	BCR READ ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6511	65	안전장치	BCR COMMUNICATION TIMEOUT ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6512	65	안전장치	DATA MISMATCH SENSOR ON DATA OFF	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
6515	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
7219	65	안전장치	Safety Relay1151SR01,02 Relay On	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
7375	65	안전장치	o1u03   Pallet  ValidateNG	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
7388	65	안전장치	o1u03   Lightcurtain    Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
7419	65	안전장치	Safety Relay6151SR01,02 Relay On	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
7502	0	시스템	Wrapper Heater Cover Check Alarm	4	Unknown	높음 (빠른 조치 필요, 설비 이상)	33.4%
7508	0	시스템	Wrapper Heater Temp Alarm	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
7509	0	시스템	Wrapper Carrier ID Check Alarm	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
7510	0	시스템	Wrapper Light Curtain Detect ERROR	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
7515	0	시스템	Unknown Alarm	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
7528	65	안전장치	o7u01   Lightcurtain    Alarm	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
8001	0	시스템	GF STOP TIME OVER	4	설비기인	높음 (빠른 조치 필요, 설비 이상)	33.4%
8032	0	시스템	LIFT Remember Memory NG	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9001	9	프로세스	BCR Read Fail	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9004	9	프로세스	MCS Buzzer	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9005	9	프로세스	Handy BCR NO READ	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9006	9	프로세스	No Command From MCS	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9007	9	프로세스	BCR Disconnect	3	설비기인	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9306	65	안전장치	[R1199_1][A]INVERTER_RUN_TIME_OVER	5	Unknown	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
9550	0	시스템	UNKNOWN ALARM CODE	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
9721	65	안전장치	[R1795_0][OUTLET CV2][A]CONVEYOR STUCK DETECT ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
9740	65	안전장치	[R1796_3][OUTLET CV2][A]PALLET PRODUCT DATA ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
10000	0	시스템	LAZY_CARRIER	3	Unknown	중간 (주의 요망, 시스템 및 프로세스 문제)	17.3%
14123	65	안전장치	[R7295_2][B]_[TRAY_LOADING_CV]_CV#1_PILE_POS_CCW_LIMIT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14124	65	안전장치	[R7295_3][B]_[TRAY_LOADING_CV]_CV#1_PILE_POS_CW_LIMIT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14169	65	안전장치	[R7298_0][C]_TRAY_LOADING_CV]_LIGHT_C_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14443	65	안전장치	[R7695_2][B]_[TRAY_UNLOADING_CV]_CV#5_PILE_POS_UP_LIMIT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14444	65	안전장치	[R7695_3][B]_[TRAY_UNLOADING_CV]_CV#5_PILE_POS_DOWN_LIMIT_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14485	65	안전장치	[R7697_C][A]_[TRAY_UNLOADING_CV]_AGV_COMP_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
14489	65	안전장치	[R7698_0][C]_[TRAY_UNLOADING_CV][OUT_LIGHT_CURTAIN]_L_C_ERROR	5	설비기인	매우 높음 (즉시 조치 필요, 안전 관련 위험)	48.3%
